Date,Open,High,Low,Close,Adj Close,Volume
2015-09-23,74610.203125,74610.203125,74610.203125,74610.203125,74610.203125,0
2015-09-24,null,null,null,null,null,null
2015-09-25,null,null,null,null,null,null
2015-09-28,73315.000000,73315.000000,73315.000000,73315.000000,73315.000000,0
2015-09-29,74257.601563,74257.601563,74257.601563,74257.601563,74257.601563,0
2015-09-30,74205.500000,74205.500000,74205.500000,74205.500000,74205.500000,0
2015-10-01,74531.000000,74531.000000,74531.000000,74531.000000,74531.000000,0
2015-10-02,74396.601563,74396.601563,74396.601563,74396.601563,74396.601563,0
2015-10-05,76902.500000,76902.500000,76902.500000,76902.500000,76902.500000,0
2015-10-06,77258.601563,77258.601563,77258.601563,77258.601563,77258.601563,0
2015-10-07,78698.203125,78698.203125,78698.203125,78698.203125,78698.203125,0
2015-10-08,78661.000000,78661.000000,78661.000000,78661.000000,78661.000000,0
2015-10-09,79214.898438,79214.898438,79214.898438,79214.898438,79214.898438,0
2015-10-12,79300.101563,79300.101563,79300.101563,79300.101563,79300.101563,0
2015-10-13,78358.601563,78358.601563,78358.601563,78358.601563,78358.601563,0
2015-10-14,79380.203125,79380.203125,79380.203125,79380.203125,79380.203125,0
2015-10-15,79263.296875,79263.296875,79263.296875,79263.296875,79263.296875,0
2015-10-16,78483.500000,78483.500000,78483.500000,78483.500000,78483.500000,0
2015-10-19,79734.500000,79734.500000,79734.500000,79734.500000,79734.500000,0
2015-10-20,80496.500000,80496.500000,80496.500000,80496.500000,80496.500000,0
2015-10-21,79765.296875,79765.296875,79765.296875,79765.296875,79765.296875,0
2015-10-22,80255.898438,80255.898438,80255.898438,80255.898438,80255.898438,0
2015-10-23,80124.796875,80124.796875,80124.796875,80124.796875,80124.796875,0
2015-10-26,79262.296875,79262.296875,79262.296875,79262.296875,79262.296875,0
2015-10-27,78662.500000,78662.500000,78662.500000,78662.500000,78662.500000,0
2015-10-28,78536.296875,78536.296875,78536.296875,78536.296875,78536.296875,0
2015-10-29,null,null,null,null,null,null
2015-10-30,79409.000000,79409.000000,79409.000000,79409.000000,79409.000000,0
2015-11-02,83693.601563,83693.601563,83693.601563,83693.601563,83693.601563,0
2015-11-03,82913.898438,82913.898438,82913.898438,82913.898438,82913.898438,0
2015-11-04,83684.101563,83684.101563,83684.101563,83684.101563,83684.101563,0
2015-11-05,82955.703125,82955.703125,82955.703125,82955.703125,82955.703125,0
2015-11-06,81930.203125,81930.203125,81930.203125,81930.203125,81930.203125,0
2015-11-09,82050.101563,82050.101563,82050.101563,82050.101563,82050.101563,0
2015-11-10,81174.101563,81174.101563,81174.101563,81174.101563,81174.101563,0
2015-11-11,81718.000000,81718.000000,81718.000000,81718.000000,81718.000000,0
2015-11-12,82143.398438,82143.398438,82143.398438,82143.398438,82143.398438,0
2015-11-13,81878.796875,81878.796875,81878.796875,81878.796875,81878.796875,0
2015-11-16,81046.398438,81046.398438,81046.398438,81046.398438,81046.398438,0
2015-11-17,81152.898438,81152.898438,81152.898438,81152.898438,81152.898438,0
2015-11-18,80514.203125,80514.203125,80514.203125,80514.203125,80514.203125,0
2015-11-19,80441.203125,80441.203125,80441.203125,80441.203125,80441.203125,0
2015-11-20,80681.703125,80681.703125,80681.703125,80681.703125,80681.703125,0
2015-11-23,79744.796875,79744.796875,79744.796875,79744.796875,79744.796875,0
2015-11-24,76243.000000,76243.000000,76243.000000,76243.000000,76243.000000,0
2015-11-25,76836.500000,76836.500000,76836.500000,76836.500000,76836.500000,0
2015-11-26,74997.601563,74997.601563,74997.601563,74997.601563,74997.601563,0
2015-11-27,75638.398438,75638.398438,75638.398438,75638.398438,75638.398438,0
2015-11-30,75232.796875,75232.796875,75232.796875,75232.796875,75232.796875,0
2015-12-01,75232.796875,75232.796875,75232.796875,75232.796875,75232.796875,0
2015-12-02,76395.000000,76395.000000,76395.000000,76395.000000,76395.000000,0
2015-12-03,75452.796875,75452.796875,75452.796875,75452.796875,75452.796875,0
2015-12-04,74265.296875,74265.296875,74265.296875,74265.296875,74265.296875,0
2015-12-07,73908.898438,73908.898438,73908.898438,73908.898438,73908.898438,0
2015-12-08,73908.898438,73908.898438,73908.898438,73908.898438,73908.898438,0
